Size,Channels,Threads,Time_s
256,64,4,0.0643034
256,64,4,0.0576792
256,64,4,0.0612941
256,64,4,0.0564638
256,64,4,0.0506019
256,64,4,0.0489257
256,64,4,0.0510357
256,64,4,0.0507278
256,64,4,0.0512743
256,64,4,0.0504326
256,64,4,0.0540222
256,64,4,0.0544465
256,64,4,0.0550242
256,64,4,0.0517668
256,64,4,0.0556525
256,64,4,0.0521952
256,64,4,0.0548647
256,64,4,0.0572671
256,64,4,0.0598922
256,64,4,0.0521221
256,64,4,0.0501857
256,64,4,0.0475673
256,64,4,0.0488785
256,64,4,0.0532494
256,64,4,0.0509392
256,64,4,0.0574128
256,64,4,0.0595733
256,64,4,0.056147
256,64,4,0.056894
256,64,4,0.0553576
256,64,4,0.060096
256,64,4,0.0571888
256,64,4,0.056982
256,64,4,0.0554171
256,64,4,0.0581139
256,64,4,0.0526166
256,64,4,0.0498233
256,64,4,0.0591446
256,64,4,0.0521861
256,64,4,0.0566698
256,64,4,0.049875
256,64,4,0.0502046
256,64,4,0.0504776
256,64,4,0.0546719
256,64,4,0.0692834
256,64,4,0.0655932
256,64,4,0.0544583
256,64,4,0.0560574
256,64,4,0.0583373
256,64,8,0.0383744
256,64,8,0.0335446
256,64,8,0.0344826
256,64,8,0.0355872
256,64,8,0.038026
256,64,8,0.0368515
256,64,8,0.036702
256,64,8,0.0375085
256,64,8,0.0340941
256,64,8,0.035835
256,64,8,0.03402
256,64,8,0.0350346
256,64,8,0.0299303
256,64,8,0.0340928
256,64,8,0.0315906
256,64,8,0.032671
256,64,8,0.036301
256,64,8,0.0366632
256,64,8,0.0349434
256,64,8,0.0372266
256,64,8,0.0350998
256,64,8,0.0372315
256,64,8,0.0359044
256,64,8,0.0360311
256,64,8,0.039053
256,64,8,0.0367959
256,64,8,0.0334307
256,64,8,0.0336844
256,64,8,0.0353201
256,64,8,0.0364008
256,64,8,0.0326251
256,64,8,0.0323738
256,64,8,0.0339297
256,64,8,0.0314177
256,64,8,0.0341954
256,64,8,0.0376632
256,64,8,0.0312482
256,64,8,0.0317047
256,64,8,0.0305616
256,64,8,0.028454
256,64,8,0.0336142
256,64,8,0.0352843
256,64,8,0.0296598
256,64,8,0.0299313
256,64,8,0.0321924
256,64,8,0.035071
256,64,8,0.0368199
256,64,8,0.032724
256,64,8,0.0351552
256,64,8,0.0367824
256,64,16,0.0249839
256,64,16,0.0227801
256,64,16,0.023724
256,64,16,0.0229955
256,64,16,0.0249501
256,64,16,0.0235598
256,64,16,0.0254002
256,64,16,0.0236141
256,64,16,0.0230844
256,64,16,0.0232735
256,64,16,0.0243987
256,64,16,0.0240396
256,64,16,0.0246632
256,64,16,0.0238049
256,64,16,0.0231093
256,64,16,0.0230174
256,64,16,0.0250342
256,64,16,0.0233107
256,64,16,0.0269927
256,64,16,0.0268962
256,64,16,0.0266043
256,64,16,0.0246075
256,64,16,0.0242616
256,64,16,0.0229477
256,64,16,0.0249242
256,64,16,0.0246818
256,64,16,0.0252051
256,64,16,0.0229325
256,64,16,0.0261937
256,64,16,0.0225038
256,64,16,0.0244939
256,64,16,0.0237673
256,64,16,0.0266706
256,64,16,0.0223143
256,64,16,0.0237324
256,64,16,0.0249255
256,64,16,0.0226926
256,64,16,0.0229766
256,64,16,0.0230266
256,64,16,0.0254922
256,64,16,0.0225733
256,64,16,0.0248041
256,64,16,0.024213
256,64,16,0.0255982
256,64,16,0.0231747
256,64,16,0.0246721
256,64,16,0.0237786
256,64,16,0.0268809
256,64,16,0.0230409
256,64,16,0.0263877
512,16,2,0.10943
512,16,2,0.10331
512,16,2,0.113725
512,16,2,0.0945447
512,16,2,0.105269
512,16,2,0.104026
512,16,2,0.0997811
512,16,2,0.101416
512,16,2,0.107677
512,16,2,0.110708
512,16,2,0.101403
512,16,2,0.104131
512,16,2,0.0929563
512,16,2,0.102053
512,16,2,0.104252
512,16,2,0.109487
512,16,2,0.0949177
