Size,Channels,Threads,Time_s
256,32,4,0.0150618
256,32,4,0.013376
256,32,4,0.0137076
256,32,4,0.0134692
256,32,4,0.0141805
256,32,4,0.0143513
256,32,4,0.0146036
256,32,4,0.013709
256,32,4,0.0141573
256,32,4,0.0135055
256,32,4,0.0128939
256,32,4,0.014112
256,32,4,0.0141355
256,32,4,0.0155711
256,32,4,0.0135553
256,32,4,0.0133879
256,32,4,0.0131425
256,32,4,0.0136161
256,32,4,0.0138391
256,32,4,0.0135939
256,32,4,0.0134984
256,32,4,0.0133559
256,32,4,0.0146318
256,32,4,0.0140408
256,32,4,0.0152807
256,32,4,0.0153016
256,32,4,0.0143537
256,32,4,0.0141993
256,32,4,0.0150693
256,32,4,0.0134164
256,32,4,0.0143156
256,32,4,0.0149193
256,32,4,0.0135667
256,32,4,0.0135824
256,32,4,0.013927
256,32,4,0.0134892
256,32,4,0.0135074
256,32,4,0.01376
256,32,4,0.0146658
256,32,4,0.0137214
256,32,4,0.0143743
256,32,4,0.0135654
256,32,4,0.013709
256,32,4,0.0131635
256,32,4,0.013554
256,32,4,0.0137067
256,32,4,0.013949
256,32,4,0.014468
256,32,4,0.0134402
256,32,4,0.0140006
256,32,8,0.0103715
256,32,8,0.0072655
256,32,8,0.0089419
256,32,8,0.0096321
256,32,8,0.0071597
256,32,8,0.0071322
256,32,8,0.0082728
256,32,8,0.0086153
256,32,8,0.0083443
256,32,8,0.0096826
256,32,8,0.0069191
256,32,8,0.0088508
256,32,8,0.0083664
256,32,8,0.0069904
256,32,8,0.008109
256,32,8,0.0085152
256,32,8,0.0085585
256,32,8,0.0068019
256,32,8,0.0096669
256,32,8,0.0069378
256,32,8,0.0081188
256,32,8,0.0088906
256,32,8,0.0086206
256,32,8,0.0082635
256,32,8,0.0099816
256,32,8,0.0074453
256,32,8,0.0082311
256,32,8,0.008673
256,32,8,0.0099553
256,32,8,0.0076243
256,32,8,0.0081828
256,32,8,0.0077231
256,32,8,0.0093126
256,32,8,0.0074426
256,32,8,0.0088746
256,32,8,0.0080655
256,32,8,0.0078435
256,32,8,0.0079418
256,32,8,0.0085214
256,32,8,0.0081266
256,32,8,0.0084861
256,32,8,0.0071322
256,32,8,0.0084663
256,32,8,0.0069129
256,32,8,0.0089586
256,32,8,0.0067847
256,32,8,0.0080216
256,32,8,0.0072647
256,32,8,0.0099346
256,32,8,0.0068042
256,32,16,0.0099438
256,32,16,0.0074942
256,32,16,0.0075972
256,32,16,0.0064607
256,32,16,0.0086168
256,32,16,0.0083984
256,32,16,0.0076044
256,32,16,0.0081019
256,32,16,0.0074203
256,32,16,0.008304
256,32,16,0.0075746
256,32,16,0.007384
256,32,16,0.0082952
256,32,16,0.008116
256,32,16,0.0079484
256,32,16,0.0064352
256,32,16,0.0069967
256,32,16,0.0059009
256,32,16,0.0061077
256,32,16,0.007525
256,32,16,0.0064032
256,32,16,0.0066203
256,32,16,0.0064308
256,32,16,0.006258
256,32,16,0.0068197
256,32,16,0.0064901
256,32,16,0.0066298
256,32,16,0.0074907
256,32,16,0.0060496
256,32,16,0.0069406
256,32,16,0.0070308
256,32,16,0.0063387
256,32,16,0.0064082
256,32,16,0.0066533
256,32,16,0.0087952
256,32,16,0.0066086
256,32,16,0.0067474
256,32,16,0.0065666
256,32,16,0.0061173
256,32,16,0.0069578
256,32,16,0.0068093
256,32,16,0.0086718
256,32,16,0.0064885
256,32,16,0.0070383
256,32,16,0.00631
256,32,16,0.0060885
256,32,16,0.0062357
256,32,16,0.0064783
256,32,16,0.0069817
256,32,16,0.0078468
256,64,2,0.0500712
256,64,2,0.0475843
256,64,2,0.0489782
256,64,2,0.048433
256,64,2,0.0507636
256,64,2,0.0478972
256,64,2,0.0471766
256,64,2,0.0477277
256,64,2,0.047353
256,64,2,0.0469554
256,64,2,0.0561707
256,64,2,0.0483346
256,64,2,0.0470997
256,64,2,0.0472314
256,64,2,0.0480084
256,64,2,0.0486464
256,64,2,0.0484508
256,64,2,0.0489108
256,64,2,0.047615
256,64,2,0.0495819
256,64,2,0.0496449
256,64,2,0.0495315
256,64,2,0.0497617
256,64,2,0.0494874
256,64,2,0.0490738
256,64,2,0.0477546
256,64,2,0.0474055
256,64,2,0.0477459
256,64,2,0.0486111
256,64,2,0.0478146
256,64,2,0.0488221
256,64,2,0.0478732
256,64,2,0.0484484
256,64,2,0.0481701
256,64,2,0.0492839
256,64,2,0.04805
256,64,2,0.048687
256,64,2,0.0477647
256,64,2,0.048476
256,64,2,0.0499207
256,64,2,0.0496518
256,64,2,0.0495917
256,64,2,0.0500024
256,64,2,0.0487259
256,64,2,0.0487578
256,64,2,0.0487046
256,64,2,0.0482528
256,64,2,0.0477699
256,64,2,0.0474884
256,64,2,0.0482487
256,64,4,0.02679
256,64,4,0.025315
256,64,4,0.0256001
256,64,4,0.0257776
256,64,4,0.0268493
256,64,4,0.0276989
256,64,4,0.0288851
256,64,4,0.0269597
256,64,4,0.0278383
256,64,4,0.0256017
256,64,4,0.0256173
256,64,4,0.0255121
256,64,4,0.0259347
256,64,4,0.0301576
256,64,4,0.0247448
256,64,4,0.0251031
256,64,4,0.0253153
256,64,4,0.026021
256,64,4,0.0262616
256,64,4,0.025869
256,64,4,0.0261143
256,64,4,0.0251266
256,64,4,0.0259867
256,64,4,0.0254032
256,64,4,0.0257974
256,64,4,0.0256682
256,64,4,0.0277593
256,64,4,0.027357
256,64,4,0.025817
256,64,4,0.0262096
256,64,4,0.0257314
256,64,4,0.0257982
256,64,4,0.0257358
256,64,4,0.0280768
256,64,4,0.0269283
256,64,4,0.0247875
256,64,4,0.0259248
256,64,4,0.0254011
256,64,4,0.025816
256,64,4,0.0262873
256,64,4,0.0260567
256,64,4,0.0275345
256,64,4,0.0252805
256,64,4,0.0259912
256,64,4,0.0320049
256,64,4,0.0258853
256,64,4,0.0272508
256,64,4,0.0256239
256,64,4,0.026062
256,64,4,0.0264882
256,64,8,0.0174319
256,64,8,0.0166885
256,64,8,0.0147091
256,64,8,0.0151659
256,64,8,0.0150086
256,64,8,0.0160549
256,64,8,0.0159227
256,64,8,0.0155426
256,64,8,0.015788
256,64,8,0.017178
