Size,Channels, Thread, Time_s
512,64,1,0.742881
512,64,1,0.745002
512,64,1,0.750739
512,64,1,0.74029
512,64,1,0.7493
512,64,1,0.753592
512,64,1,0.746055
512,64,1,0.744098
512,64,1,0.747908
512,64,1,0.743735
512,64,1,0.750226
512,64,1,0.747315
512,64,1,0.752741
512,64,1,0.758215
512,64,1,0.749438
512,64,1,0.742648
512,64,1,0.752719
512,64,1,0.757657
512,64,1,0.768507
512,64,1,0.740001
512,64,1,0.756172
512,64,1,0.77801
512,64,1,0.840365
512,64,1,1.16841
512,64,1,0.906023
512,64,1,0.801411
512,64,1,1.0326
512,64,1,0.94475
512,64,1,0.958857
512,64,1,0.912333
512,64,1,0.8033
512,64,1,0.7519
512,64,1,0.787696
512,64,1,0.742618
512,64,1,0.795029
512,64,1,0.809582
512,64,1,0.920517
512,64,1,0.935874
512,64,1,0.931657
512,64,1,0.857188
512,64,1,0.918064
512,64,1,0.855841
512,64,1,0.7872
512,128,1,1.56882
512,128,1,1.55594
512,128,1,1.55532
512,128,1,1.52527
512,128,1,1.52594
512,128,1,1.52389
512,128,1,1.53016
512,128,1,1.52423
512,128,1,1.54573
512,128,1,1.56001
512,128,1,1.51748
512,128,1,1.52391
512,128,1,1.4961
512,128,1,1.51391
512,128,1,1.52828
512,128,1,1.5623
512,128,1,1.56346
512,128,1,1.53689
512,128,1,1.5858
512,128,1,1.57877
512,128,1,1.5579
512,128,1,1.51461
512,128,1,1.53175
512,128,1,1.53467
512,128,1,1.65524
512,128,1,1.83629
512,128,1,1.84592
512,128,1,1.68496
512,128,1,1.56855
512,128,1,1.52807
512,128,1,1.54081
512,128,1,1.58682
512,128,1,1.49983
512,128,1,1.69727
512,128,1,1.87737
512,128,1,1.85407
512,128,1,1.62337
512,128,1,1.55018
512,128,1,1.59278
512,128,1,1.51501
512,128,1,1.51036
512,128,1,1.51676
512,128,1,1.64874
512,128,1,1.88315
512,128,1,1.97825
512,128,1,1.83472
512,128,1,1.72286
512,128,1,1.89117
512,128,1,1.7094
512,128,1,1.54158
1024,3,1,0.142924
1024,3,1,0.143349
1024,3,1,0.145115
1024,3,1,0.14713
1024,3,1,0.145609
1024,3,1,0.144105
1024,3,1,0.146752
1024,3,1,0.146359
1024,3,1,0.144639
1024,3,1,0.147888
1024,3,1,0.147335
1024,3,1,0.145061
1024,3,1,0.143385
1024,3,1,0.140257
1024,3,1,0.137511
1024,3,1,0.151238
1024,3,1,0.146875
1024,3,1,0.146134
1024,3,1,0.145967
1024,3,1,0.150492
1024,3,1,0.141654
1024,3,1,0.144758
1024,3,1,0.144309
1024,3,1,0.156943
1024,3,1,0.140525
1024,3,1,0.14168
1024,3,1,0.154323
1024,3,1,0.144076
1024,3,1,0.14292
1024,3,1,0.144361
1024,3,1,0.147724
1024,3,1,0.142332
1024,3,1,0.138215
1024,3,1,0.14034
1024,3,1,0.144268
1024,3,1,0.140506
1024,3,1,0.139236
1024,3,1,0.149134
1024,3,1,0.136034
1024,3,1,0.141407
1024,3,1,0.148164
1024,3,1,0.165691
1024,3,1,0.163877
1024,3,1,0.1539
1024,3,1,0.156386
1024,3,1,0.141299
1024,3,1,0.162863
1024,3,1,0.168793
1024,3,1,0.150052
1024,3,1,0.148652
1024,16,1,0.809426
1024,16,1,0.779532
1024,16,1,0.816847
1024,16,1,0.813179
1024,16,1,0.816603
1024,16,1,0.78431
1024,16,1,0.802203
1024,16,1,0.817225
1024,16,1,0.813712
1024,16,1,0.814936
1024,16,1,0.804242
1024,16,1,0.79766
1024,16,1,0.793551
1024,16,1,0.810797
1024,16,1,0.801429
1024,16,1,0.802584
1024,16,1,0.793735
1024,16,1,0.798897
1024,16,1,0.810192
1024,16,1,0.802903
1024,16,1,0.788803
1024,16,1,0.793074
1024,16,1,0.809722
1024,16,1,0.807288
1024,16,1,0.804655
1024,16,1,0.797696
1024,16,1,0.813706
1024,16,1,0.783188
1024,16,1,0.800264
1024,16,1,0.800109
1024,16,1,0.806403
1024,16,1,0.783346
1024,16,1,0.805765
1024,16,1,0.805118
1024,16,1,0.875097
1024,16,1,0.893911
1024,16,1,0.795649
1024,16,1,0.817945
1024,16,1,0.796732
1024,16,1,0.818166
1024,16,1,0.796543
1024,16,1,0.799663
1024,16,1,0.808653
1024,16,1,0.804583
1024,16,1,0.852566
1024,16,1,0.810128
1024,16,1,0.803484
1024,16,1,0.820374
1024,16,1,0.800398
1024,16,1,0.800535
1024,32,1,1.66837
1024,32,1,1.61815
1024,32,1,1.6717
1024,32,1,1.67775
1024,32,1,1.65177
1024,32,1,1.66768
1024,32,1,1.78923
1024,32,1,2.1263
1024,32,1,1.68583
1024,32,1,1.6792
1024,32,1,2.38126
1024,32,1,1.85479
1024,32,1,1.63662
1024,32,1,1.72468
1024,32,1,1.75727
1024,32,1,1.66622
1024,32,1,1.6424
1024,32,1,1.67596
1024,32,1,1.74121
1024,32,1,1.83627
1024,32,1,1.89704
1024,32,1,1.68095
1024,32,1,1.67808
1024,32,1,1.58671
1024,32,1,1.84678
1024,32,1,2.23188
1024,32,1,2.03622
1024,32,1,2.13329
1024,32,1,1.76894
1024,32,1,1.68237
1024,32,1,1.7529
1024,32,1,2.42507
1024,32,1,2.33913
1024,32,1,1.65845
1024,32,1,1.7182
1024,32,1,1.68796
1024,32,1,1.8828
1024,32,1,1.77362
1024,32,1,1.72178
1024,32,1,1.62344
1024,32,1,1.67159
1024,32,1,1.64757
1024,32,1,1.6123
1024,32,1,1.63202
1024,32,1,1.67407
1024,32,1,1.63549
1024,32,1,1.81506
1024,32,1,2.11327
1024,32,1,1.82568
1024,32,1,1.79863
1024,64,1,4.06458
1024,64,1,4.40455
1024,64,1,4.09045
1024,64,1,4.39139
1024,64,1,4.27779
1024,64,1,3.8128
1024,64,1,3.72701
1024,64,1,3.74602
1024,64,1,3.58103
1024,64,1,3.75943
1024,64,1,3.78133
1024,64,1,3.67488
1024,64,1,3.88813
1024,64,1,3.98493
1024,64,1,3.56874
1024,64,1,3.38902
1024,64,1,3.47568
1024,64,1,3.55724
1024,64,1,3.61957
1024,64,1,3.53136
1024,64,1,4.02727
1024,64,1,3.48672
1024,64,1,3.88044
1024,64,1,3.69991
1024,64,1,3.63191
1024,64,1,3.5505
1024,64,1,3.74149
1024,64,1,4.66494
1024,64,1,3.74777
1024,64,1,3.5104
1024,64,1,3.47312
1024,64,1,3.52355
1024,64,1,3.96019
1024,64,1,3.8977
1024,64,1,4.03757
1024,64,1,4.03692
1024,64,1,4.3454
1024,64,1,3.83976
1024,64,1,4.07234
1024,64,1,4.5039
1024,64,1,3.61186
1024,64,1,3.62338
1024,64,1,3.66232
1024,64,1,3.70093
1024,64,1,3.62817
1024,64,1,3.53511
1024,64,1,3.43106
1024,64,1,3.41231
1024,64,1,3.95635
1024,64,1,3.76799
1024,128,1,6.82632
1024,128,1,6.82093
1024,128,1,7.68283
1024,128,1,7.73382
1024,128,1,7.91236
1024,128,1,7.43834
1024,128,1,6.92002
1024,128,1,6.62878
1024,128,1,7.89857
1024,128,1,6.7264
1024,128,1,7.33715
1024,128,1,6.98178
1024,128,1,6.96682
1024,128,1,7.06948
1024,128,1,7.25324
1024,128,1,7.17825
1024,128,1,7.28942
1024,128,1,8.03014
1024,128,1,9.28556
1024,128,1,8.52958
1024,128,1,8.31019
1024,128,1,8.21632
1024,128,1,7.55723
1024,128,1,7.06688
1024,128,1,7.88772
1024,128,1,6.4837
1024,128,1,6.46057
1024,128,1,6.69546
1024,128,1,6.58002
1024,128,1,6.96808
1024,128,1,6.57023
1024,128,1,6.46156
1024,128,1,7.87943
1024,128,1,6.52657
1024,128,1,6.43813
1024,128,1,6.74339
1024,128,1,6.54841
1024,128,1,6.51719
1024,128,1,6.92585
1024,128,1,6.46099
1024,128,1,6.95897
1024,128,1,6.62353
1024,128,1,7.0014
1024,128,1,6.95709
1024,128,1,6.97861
1024,128,1,6.73265
1024,128,1,7.70995
1024,128,1,7.51056
1024,128,1,7.9014
1024,128,1,7.91116
