Size,Channels,Threads,Time_s
256,3,64,0.0008243
256,3,64,0.0007778
256,3,64,0.0008084
256,3,64,0.0007609
256,3,64,0.0007551
256,3,64,0.0008547
256,3,64,0.0008815
256,3,64,0.0007693
256,3,64,0.000714
256,3,64,0.0007004
256,3,64,0.0007715
256,3,64,0.0007609
256,3,64,0.0008548
256,3,64,0.0008015
256,3,64,0.0007858
256,3,64,0.001062
256,3,64,0.0010566
256,3,64,0.0009665
256,3,64,0.0014305
256,3,64,0.0008327
256,3,64,0.0008171
256,3,64,0.0007221
256,3,64,0.0007833
256,3,64,0.0007707
256,3,64,0.0007581
256,3,64,0.0007904
256,3,64,0.000854
256,3,64,0.0008301
256,3,64,0.0008989
256,3,64,0.0008884
256,3,64,0.0008788
256,3,64,0.0008817
256,3,64,0.0009048
256,3,64,0.0010998
256,3,64,0.0008624
256,3,64,0.0008384
256,3,64,0.0009388
256,3,128,0.0113579
256,3,128,0.000903
256,3,128,0.0009156
256,3,128,0.0010742
256,3,128,0.0009149
256,3,128,0.0008947
256,3,128,0.0008601
256,3,128,0.0008459
256,3,128,0.001148
256,3,128,0.0009954
256,3,128,0.00114
256,3,128,0.0011668
256,3,128,0.0009697
256,3,128,0.0008873
256,3,128,0.0008681
256,3,128,0.001065
256,3,128,0.0010127
256,3,128,0.0008805
256,3,128,0.0010563
256,3,128,0.000934
256,3,128,0.0008981
256,3,128,0.000884
256,3,128,0.0009122
256,3,128,0.0009065
256,3,128,0.0009046
256,3,128,0.0011567
256,3,128,0.0010663
256,3,128,0.0011211
256,3,128,0.0009779
256,3,128,0.0008789
256,3,128,0.0008596
256,3,128,0.0008892
256,3,128,0.0009398
256,3,128,0.0008517
256,3,128,0.0011146
256,3,128,0.0010109
256,3,128,0.0008762
256,3,128,0.000948
256,3,128,0.0009178
256,3,128,0.0008839
256,3,128,0.000903
256,3,128,0.0009989
256,3,128,0.0010411
256,3,128,0.0009671
256,3,128,0.0012207
256,3,128,0.0009888
256,3,128,0.0008943
256,3,128,0.0008768
256,3,128,0.0008643
256,3,128,0.0008897
256,16,2,0.0115843
256,16,2,0.0098464
256,16,2,0.008961
256,16,2,0.0090905
256,16,2,0.0098945
256,16,2,0.0089431
256,16,2,0.0098696
256,16,2,0.0099983
256,16,2,0.0097316
256,16,2,0.0106239
256,16,2,0.00896
256,16,2,0.0108364
256,16,2,0.012499
256,16,2,0.0092876
256,16,2,0.0103072
256,16,2,0.0100181
256,16,2,0.0096459
256,16,2,0.0100122
256,16,2,0.0097817
256,16,2,0.0099392
256,16,2,0.0087905
256,16,2,0.0106376
256,16,2,0.00974
256,16,2,0.0095766
256,16,2,0.0112094
256,16,2,0.0105524
256,16,2,0.0102359
256,16,2,0.0103122
256,16,2,0.0097134
256,16,2,0.0102669
256,16,2,0.0119825
256,16,2,0.0141925
256,16,2,0.0117958
256,16,2,0.0096242
256,16,2,0.0106118
256,16,2,0.0093763
